Date,Open,High,Low,Close,Adj Close,Volume
2020-09-21,34.549999,34.549999,34.549999,34.549999,34.549999,91584
2020-09-22,35.400002,36.250000,32.849998,35.000000,35.000000,123557
2020-09-23,36.000000,36.700001,33.250000,34.750000,34.750000,40562
2020-09-24,33.200001,35.000000,33.200001,34.250000,34.250000,21546
2020-09-25,33.500000,35.500000,32.549999,32.750000,32.750000,32871
2020-09-28,33.000000,34.200001,32.500000,33.750000,33.750000,5012
2020-09-29,35.000000,35.000000,32.349998,32.849998,32.849998,10369
2020-09-30,32.000000,34.000000,31.250000,33.049999,33.049999,28617
2020-10-01,32.549999,34.599998,31.549999,33.200001,33.200001,61220
2020-10-05,34.849998,34.849998,34.849998,34.849998,34.849998,20889
2020-10-06,36.549999,36.549999,36.549999,36.549999,36.549999,11854
2020-10-07,38.349998,38.349998,38.349998,38.349998,38.349998,7184
2020-10-08,40.250000,40.250000,36.599998,37.049999,37.049999,115905
2020-10-09,36.599998,38.349998,36.599998,37.750000,37.750000,15338
2020-10-12,38.000000,38.000000,35.900002,36.250000,36.250000,22853
2020-10-13,35.000000,36.250000,34.599998,35.900002,35.900002,21675
2020-10-14,34.500000,37.650002,34.500000,37.650002,37.650002,23517
2020-10-15,38.500000,38.950001,36.700001,38.450001,38.450001,21868
2020-10-16,39.000000,39.799999,37.250000,38.000000,38.000000,9716
2020-10-19,39.500000,39.500000,36.099998,36.099998,36.099998,23102
2020-10-20,35.500000,36.150002,34.299999,34.299999,34.299999,12041
2020-10-21,32.599998,35.000000,32.599998,33.599998,33.599998,10157
2020-10-22,32.750000,34.200001,32.750000,33.200001,33.200001,5030
2020-10-23,34.000000,34.849998,33.099998,34.700001,34.700001,9560
2020-10-26,35.950001,36.400002,33.599998,34.150002,34.150002,9924
2020-10-27,35.650002,35.650002,32.450001,33.000000,33.000000,22951
2020-10-28,33.950001,34.549999,31.350000,31.500000,31.500000,17305
2020-10-29,32.799999,33.049999,30.700001,32.700001,32.700001,11276
2020-10-30,32.500000,34.299999,32.500000,34.299999,34.299999,11549
2020-11-02,33.250000,34.900002,32.599998,32.599998,32.599998,11329
2020-11-03,31.049999,31.049999,31.000000,31.000000,31.000000,4026
2020-11-04,29.500000,31.950001,29.450001,29.950001,29.950001,8115
2020-11-05,30.950001,30.950001,29.549999,30.049999,30.049999,8017
2020-11-06,29.600000,31.000000,29.600000,30.600000,30.600000,8889
2020-11-09,31.500000,31.950001,29.100000,29.150000,29.150000,10675
2020-11-10,30.450001,30.450001,27.700001,28.100000,28.100000,10966
2020-11-11,27.000000,29.450001,27.000000,29.000000,29.000000,17823
2020-11-12,27.750000,30.000000,27.750000,29.000000,29.000000,24522
2020-11-13,28.600000,29.400000,27.750000,28.000000,28.000000,15474
2020-11-14,null,null,null,null,null,null
2020-11-17,29.000000,30.000000,27.600000,28.450001,28.450001,10659
2020-11-18,28.450001,28.450001,27.049999,27.150000,27.150000,19468
2020-11-19,27.150000,28.400000,26.100000,26.549999,26.549999,35857
2020-11-20,26.549999,27.350000,25.799999,26.250000,26.250000,18404
2020-11-23,25.900000,27.250000,25.900000,26.150000,26.150000,14283
2020-11-24,25.900000,27.450001,25.900000,27.350000,27.350000,16407
2020-11-25,28.500000,28.700001,27.600000,28.650000,28.650000,19095
2020-11-26,29.900000,30.049999,28.150000,29.799999,29.799999,39768
2020-11-27,30.250000,30.950001,30.250000,30.799999,30.799999,9134
2020-12-01,31.450001,31.950001,29.500000,30.100000,30.100000,21941
2020-12-02,29.000000,31.350000,29.000000,29.750000,29.750000,7597
2020-12-03,30.350000,30.350000,28.700001,29.600000,29.600000,17754
2020-12-04,29.600000,30.450001,28.150000,29.200001,29.200001,51786
2020-12-07,29.799999,31.900000,28.100000,30.049999,30.049999,43886
2020-12-08,29.500000,31.000000,28.750000,30.000000,30.000000,44243
2020-12-09,30.000000,30.500000,29.000000,29.500000,29.500000,21977
